case,x0,y0,x1,y1,stratum,lq_gt_gradient_difference,psnr_lq,psnr_h50,psnr_h200,ssim_lq,ssim_h50,ssim_h200,lpips_lq,lpips_h50,lpips_h200
case4,0,1536,256,1792,mid,12.386648,18.641243,18.632148,16.031736,0.282049,0.285991,0.244268,0.779513,0.666419,0.528780
case4,256,1536,512,1792,high,14.987497,17.718255,17.757036,15.532624,0.220214,0.220895,0.156314,0.855143,0.758466,0.564307
case4,512,1536,768,1792,high,17.779837,16.179482,16.196531,13.804794,0.182332,0.181655,0.096574,0.902210,0.781348,0.578695
case4,768,1536,1024,1792,mid,12.899617,18.082496,18.092778,14.934047,0.283857,0.279139,0.174995,0.809101,0.738683,0.567122
case4,1024,1536,1280,1792,mid,12.604472,18.611853,18.615416,15.948553,0.304824,0.297259,0.193430,0.805449,0.708976,0.554085
case4,1280,1536,1536,1792,mid,11.444611,18.200571,18.169869,16.028626,0.354637,0.355565,0.298156,0.776969,0.675845,0.601240
case4,1536,1536,1792,1792,low,9.869461,21.277470,21.334407,19.411676,0.410260,0.408704,0.330861,0.806294,0.755645,0.500116
case4,1792,1536,2048,1792,mid,10.894612,19.638448,19.691501,17.938609,0.359484,0.358546,0.287099,0.804461,0.725097,0.484958
case4,2048,1536,2304,1792,low,10.471873,19.521566,19.490985,17.938930,0.355274,0.351327,0.302592,0.805357,0.703192,0.566960
case4,2304,1536,2560,1792,low,9.538411,20.710671,20.743915,20.070389,0.416894,0.417413,0.397139,0.787860,0.735458,0.658311
case4,2560,1536,2816,1792,low,9.870813,18.417834,18.470467,17.696543,0.424588,0.431523,0.420869,0.741831,0.676528,0.638670
case4,2816,1536,3072,1792,mid,11.455861,18.376202,18.467378,18.081064,0.341703,0.350411,0.351531,0.770355,0.720208,0.655519
case4,3072,1536,3328,1792,low,10.014786,19.513936,19.545867,19.348188,0.395722,0.396992,0.394220,0.776558,0.753651,0.744707
case4,3328,1536,3584,1792,low,10.386475,19.099439,19.154268,18.077897,0.331370,0.333996,0.282933,0.770681,0.699668,0.627991
case4,3584,1536,3840,1792,mid,12.599829,17.772848,17.817973,16.219040,0.276343,0.276336,0.223118,0.796837,0.693850,0.587237
case4,3840,1536,4096,1792,high,14.672562,17.926821,17.957209,15.476359,0.289047,0.284771,0.138272,0.800771,0.713766,0.549297
case4,0,1792,256,2048,low,10.296274,18.195483,18.248213,15.284298,0.337791,0.342414,0.279468,0.774339,0.631127,0.584394
case4,256,1792,512,2048,mid,11.154510,16.793278,16.740152,14.171455,0.322137,0.333008,0.285072,0.734230,0.603334,0.558324
case4,512,1792,768,2048,mid,13.225942,15.840971,15.833254,14.063268,0.259756,0.267348,0.218687,0.815549,0.663410,0.524023
case4,768,1792,1024,2048,low,9.983541,18.477788,18.506058,16.981773,0.346278,0.351194,0.293222,0.765941,0.635014,0.469020
case4,1024,1792,1280,2048,low,6.293915,21.921914,22.038260,20.154823,0.499132,0.503969,0.422557,0.730642,0.623990,0.518803
case4,1280,1792,1536,2048,low,10.330048,18.451585,18.496917,16.667025,0.397459,0.401679,0.346406,0.777014,0.666327,0.540946
case4,1536,1792,1792,2048,mid,11.515564,17.425929,17.479301,15.960896,0.321083,0.324659,0.278107,0.797766,0.652882,0.490676
case4,1792,1792,2048,2048,mid,12.050497,18.100340,18.106260,15.861841,0.327882,0.329560,0.261808,0.824136,0.698388,0.490290
